,last_name,first_name,birthday,type,state,district,party,url,phone,contact_form,twitter,facebook,id,sample,votes_with_party_pct,dw_nominate
69,Cassidy,Bill,9/28/1957,sen,LA,,Republican,https://www.cassidy.senate.gov,202-224-5824,https://www.cassidy.senate.gov/contact,,,C001075,1,92.94,
70,Castor,Kathy,8/20/1966,rep,FL,14,Democrat,https://castor.house.gov,202-225-3376,,USRepKCastor,USRepKathyCastor,C001066,1,97,
71,Chabot,Steve,1/22/1953,rep,OH,1,Republican,https://chabot.house.gov,202-225-2216,,RepSteveChabot,RepSteveChabot,C000266,1,88.1,
72,Chu,Judy,7/7/1953,rep,CA,27,Democrat,https://chu.house.gov,202-225-5464,,RepJudyChu,RepJudyChu,C001080,1,97.69,
73,Cicilline,David,7/15/1961,rep,RI,1,Democrat,https://cicilline.house.gov,202-225-4911,,RepCicilline,CongressmanDavidCicilline,C001084,1,95.12,
74,Clarke,Yvette,11/21/1964,rep,NY,9,Democrat,https://clarke.house.gov,202-225-6231,,RepYvetteClarke,repyvettedclarke,C001067,1,96.3,
75,Clay,Wm.,7/27/1956,rep,MO,1,Democrat,https://lacyclay.house.gov,202-225-2406,,,1.09E+14,C001049,1,90.87,
76,Cleaver,Emanuel,10/26/1944,rep,MO,5,Democrat,https://cleaver.house.gov,202-225-4535,,RepCleaver,emanuelcleaverii,C001061,1,93.77,
77,Clyburn,James,7/21/1940,rep,SC,6,Democrat,https://clyburn.house.gov,202-225-3315,,Clyburn,jameseclyburn,C000537,1,89.62,
78,Coffman,Mike,3/19/1955,rep,CO,6,Republican,https://coffman.house.gov,202-225-7882,,RepMikeCoffman,repmikecoffman,C001077,1,93.9,
79,Cohen,Steve,5/24/1949,rep,TN,9,Democrat,https://cohen.house.gov,202-225-3265,,RepCohen,CongressmanSteveCohen,C001068,1,96.65,
80,Cole,Tom,4/28/1949,rep,OK,4,Republican,https://cole.house.gov,202-225-6165,,TomColeOK04,TomColeOK04,C001053,1,96.73,
81,Conaway,K.,6/11/1948,rep,TX,11,Republican,https://conaway.house.gov,202-225-3605,,ConawayTX11,mike.conaway,C001062,1,94.34,
82,Connolly,Gerald,3/30/1950,rep,VA,11,Democrat,https://connolly.house.gov,202-225-1492,,GerryConnolly,CongressmanGerryConnolly,C001078,1,96.07,
83,Conyers,John,5/16/2029,rep,MI,13,Democrat,https://conyers.house.gov,202-225-5126,,RepJohnConyers,CongressmanConyers,C000714,1,85.48,
84,Cooper,Jim,6/19/1954,rep,TN,5,Democrat,https://cooper.house.gov,202-225-4311,,RepJimCooper,JimCooper,C000754,1,77.12,
85,Costa,Jim,4/13/1952,rep,CA,16,Democrat,https://costa.house.gov,202-225-3341,,RepJimCosta,RepJimCosta,C001059,1,86.53,
86,Courtney,Joe,4/6/1953,rep,CT,2,Democrat,https://courtney.house.gov,202-225-2076,,RepJoeCourtney,joecourtney,C001069,1,97.32,
87,Crapo,Michael,5/20/1951,sen,ID,,Republican,https://www.crapo.senate.gov,202-224-6142,https://www.crapo.senate.gov/contact,MikeCrapo,mikecrapo,C000880,1,96.14,
88,Crawford,Eric,1/22/1966,rep,AR,1,Republican,https://crawford.house.gov,202-225-4076,,RepRickCrawford,RepRickCrawford,C001087,1,93.78,
89,Crowley,Joseph,3/16/1962,rep,NY,14,Democrat,https://crowley.house.gov,202-225-3965,,RepJoeCrowley,repjoecrowley,C001038,1,91.39,
90,Cuellar,Henry,9/19/1955,rep,TX,28,Democrat,https://cuellar.house.gov,202-225-1640,,RepCuellar,1.53E+11,C001063,1,81.43,
91,Culberson,John,8/24/1956,rep,TX,7,Republican,https://culberson.house.gov,202-225-2571,,CongCulberson,CongressmanCulberson,C001048,1,94.14,
92,Cummings,Elijah,1/18/1951,rep,MD,7,Democrat,https://cummings.house.gov,202-225-4741,,RepCummings,elijahcummings,C000984,1,89.75,
93,Davis,Danny,9/6/1941,rep,IL,7,Democrat,https://davis.house.gov,202-225-5006,,RepDannyDavis,CongressmanDKDavis,D000096,1,85.83,
94,Davis,Susan,4/13/1944,rep,CA,53,Democrat,https://susandavis.house.gov,202-225-2040,,RepSusanDavis,RepSusanDavis,D000598,1,92.84,
95,DeFazio,Peter,5/27/1947,rep,OR,4,Democrat,https://defazio.house.gov,202-225-6416,,RepPeterDeFazio,RepPeterDeFazio,D000191,1,83.75,
96,DeGette,Diana,7/29/1957,rep,CO,1,Democrat,https://degette.house.gov,202-225-4431,,RepDianaDeGette,DianaDeGette,D000197,1,89.7,
97,DeLauro,Rosa,3/2/1943,rep,CT,3,Democrat,https://delauro.house.gov,202-225-3661,,RosaDeLauro,CongresswomanRosaDeLauro,D000216,1,89.42,
98,Denham,Jeff,7/29/1967,rep,CA,10,Republican,https://denham.house.gov,202-225-4540,,RepJeffDenham,RepJeffDenham,D000612,1,94.6,
99,Dent,Charles,5/24/1960,rep,PA,15,Republican,https://dent.house.gov,202-225-6411,,RepCharlieDent,CongressmanDent,D000604,1,90.27,
100,DesJarlais,Scott,2/21/1964,rep,TN,4,Republican,https://desjarlais.house.gov,202-225-6831,,DesJarlaisTN04,ScottDesJarlaisTN04,D000616,1,93.8,
101,Deutch,Theodore,5/7/1966,rep,FL,22,Democrat,https://teddeutch.house.gov,202-225-3001,,RepTedDeutch,CongressmanTedDeutch,D000610,1,98.33,
102,Diaz-Balart,Mario,9/25/1961,rep,FL,25,Republican,https://mariodiazbalart.house.gov,202-225-4211,,MarioDB,mdiazbalart,D000600,1,94.49,
103,Doggett,Lloyd,10/6/1946,rep,TX,35,Democrat,https://doggett.house.gov,202-225-4865,,RepLloydDoggett,lloyddoggett,D000399,1,87.53,
104,Donnelly,Joe,9/28/1955,sen,IN,,Democrat,https://www.donnelly.senate.gov,202-224-4814,https://www.donnelly.senate.gov/contact/email-joe,SenDonnelly,senatordonnelly,D000607,1,94.65,-0.198
105,Doyle,Michael,8/5/1953,rep,PA,14,Democrat,https://doyle.house.gov,202-225-2135,,USRepMikeDoyle,usrepmikedoyle,D000482,1,76.17,
106,Duffy,Sean,10/3/1971,rep,WI,7,Republican,https://duffy.house.gov,202-225-3365,,RepSeanDuffy,RepSeanDuffy,D000614,1,91.32,
107,Duncan,Jeff,1/7/1966,rep,SC,3,Republican,https://jeffduncan.house.gov,202-225-5301,,RepJeffDuncan,RepJeffDuncan,D000615,1,91.6,
108,Duncan,John,7/21/1947,rep,TN,2,Republican,https://duncan.house.gov,202-225-5435,,RepJohnDuncanJr,CongressmanDuncan,D000533,1,75.95,
109,Ellison,Keith,8/4/1963,rep,MN,5,Democrat,https://ellison.house.gov,202-225-4755,,KeithEllison,Keith.Ellison,E000288,1,95.87,
110,Engel,Eliot,2/18/1947,rep,NY,16,Democrat,https://engel.house.gov,202-225-2464,,RepEliotEngel,RepEliotLEngel,E000179,1,89.12,
111,Eshoo,Anna,12/13/1942,rep,CA,18,Democrat,http://eshoo.house.gov,202-225-8104,,RepAnnaEshoo,RepAnnaEshoo,E000215,1,90.4,
112,Farenthold,Blake,12/12/1961,rep,TX,27,Republican,https://farenthold.house.gov,202-225-7742,,Farenthold,BlakeFarenthold,F000460,1,94.03,
113,Flake,Jeff,12/31/1962,sen,AZ,,Republican,https://www.flake.senate.gov/public,202-224-4521,https://www.flake.senate.gov/public/index.cfm/contact-jeff,JeffFlake,senatorjeffflake,F000444,1,82.68,0.437
114,Fleischmann,Charles,10/11/1962,rep,TN,3,Republican,https://fleischmann.house.gov,202-225-3271,,RepChuck,repchuck,F000459,1,95.24,
115,Flores,Bill,2/25/1954,rep,TX,17,Republican,https://flores.house.gov,202-225-6105,,RepBillFlores,RepBillFlores,F000461,1,95.37,
116,Fortenberry,Jeff,12/27/1960,rep,NE,1,Republican,https://fortenberry.house.gov,202-225-4806,,JeffFortenberry,jefffortenberry,F000449,1,93.9,
117,Foxx,Virginia,6/29/1943,rep,NC,5,Republican,https://foxx.house.gov,202-225-2071,,VirginiaFoxx,RepVirginiaFoxx,F000450,1,91.39,
118,Franks,Trent,6/19/1957,rep,AZ,8,Republican,https://franks.house.gov,202-225-4576,,RepTrentFranks,TrentFranks,F000448,1,89.07,
119,Frelinghuysen,Rodney,4/29/1946,rep,NJ,11,Republican,https://frelinghuysen.house.gov,202-225-5034,,USRepRodney,rfrelinghuysen,F000372,1,85.94,
120,Fudge,Marcia,10/29/1952,rep,OH,11,Democrat,https://fudge.house.gov,202-225-7032,,RepMarciaFudge,RepMarciaLFudge,F000455,1,100,
121,Garamendi,John,1/24/1945,rep,CA,3,Democrat,https://garamendi.house.gov,202-225-1880,,RepGaramendi,repgaramendi,G000559,1,97.42,
122,Gardner,Cory,8/22/1974,sen,CO,,Republican,https://www.gardner.senate.gov,202-224-5941,https://www.gardner.senate.gov/contact-cory/email-cory,SenCoryGardner,SenCoryGardner,G000562,1,89.61,
123,Gibbs,Bob,6/14/1954,rep,OH,7,Republican,https://gibbs.house.gov,202-225-6265,,RepBobGibbs,RepBobGibbs,G000563,1,95.06,
124,Gohmert,Louie,8/18/1953,rep,TX,1,Republican,https://gohmert.house.gov,202-225-3035,,RepLouieGohmert,50375006903,G000552,1,89.67,
125,Goodlatte,Bob,9/22/1952,rep,VA,6,Republican,https://goodlatte.house.gov,202-225-5431,,RepGoodlatte,BobGoodlatte,G000289,1,89.4,
126,Gosar,Paul,11/22/1958,rep,AZ,4,Republican,https://gosar.house.gov,202-225-2315,,RepGosar,repgosar,G000565,1,93.66,
127,Gowdy,Trey,8/22/1964,rep,SC,4,Republican,https://gowdy.house.gov,202-225-6030,,TGowdySC,RepTreyGowdy,G000566,1,92.96,
128,Granger,Kay,1/18/1943,rep,TX,12,Republican,https://kaygranger.house.gov,202-225-5071,,RepKayGranger,RepKayGranger,G000377,1,92.85,
129,Grassley,Charles,9/17/1933,sen,IA,,Republican,https://www.grassley.senate.gov,202-224-3744,http://www.grassley.senate.gov/contact,ChuckGrassley,grassley,G000386,1,,
130,Graves,Sam,11/7/1963,rep,MO,6,Republican,https://graves.house.gov,202-225-7041,,RepSamGraves,1.19E+11,G000546,1,94.62,
131,Graves,Tom,2/3/1970,rep,GA,14,Republican,https://tomgraves.house.gov,202-225-5211,,RepTomGraves,reptomgraves,G000560,1,87.7,
132,Green,Al,9/1/1947,rep,TX,9,Democrat,https://algreen.house.gov,202-225-7508,,RepAlGreen,repalgreen,G000553,1,94.14,
133,Green,Gene,10/17/1947,rep,TX,29,Democrat,https://green.house.gov,202-225-1688,,RepGeneGreen,RepGeneGreen,G000410,1,85.88,
134,Griffith,H.,3/15/1958,rep,VA,9,Republican,https://morgangriffith.house.gov,202-225-3861,,RepMGriffith,RepMorganGriffith,G000568,1,89.05,
135,Grijalva,Raí_l,2/19/1948,rep,AZ,3,Democrat,https://grijalva.house.gov,202-225-2435,,RepraulGrijalva,Rep.Grijalva,G000551,1,92.23,
136,Guthrie,Brett,2/18/1964,rep,KY,2,Republican,https://guthrie.house.gov,202-225-3501,,RepGuthrie,CongressmanGuthrie,G000558,1,93.67,
137,Gutií©rrez,Luis,12/10/1953,rep,IL,4,Democrat,https://gutierrez.house.gov,202-225-8203,,RepGutierrez,RepGutierrez,G000535,1,88.26,
138,Harper,Gregg,6/1/1956,rep,MS,3,Republican,https://harper.house.gov,202-225-5031,,GreggHarper,GreggHarper,H001045,1,93.38,
139,Harris,Andy,1/25/1957,rep,MD,1,Republican,https://harris.house.gov,202-225-5311,,RepAndyHarrisMD,AndyHarrisMD,H001052,1,88.38,
140,Hartzler,Vicky,10/13/1960,rep,MO,4,Republican,https://hartzler.house.gov,202-225-2876,,RepHartzler,Congresswoman.Hartzler,H001053,1,94.17,
141,Hastings,Alcee,9/5/1936,rep,FL,20,Democrat,https://alceehastings.house.gov,202-225-1313,,RepHastingsFL,95696782238,H000324,1,86.96,
142,Heinrich,Martin,10/17/1971,sen,NM,,Democrat,https://www.heinrich.senate.gov,202-224-5521,http://www.heinrich.senate.gov/contact,MartinHeinrich,MartinHeinrich,H001046,1,98.01,-0.364
143,Hensarling,Jeb,5/29/1957,rep,TX,5,Republican,https://hensarling.house.gov,202-225-3484,,RepHensarling,RepHensarling,H001036,1,92.02,
144,Herrera Beutler,Jaime,11/3/1978,rep,WA,3,Republican,https://herrerabeutler.house.gov,202-225-3536,,HerreraBeutler,herrerabeutler,H001056,1,88.63,
145,Higgins,Brian,10/6/1959,rep,NY,26,Democrat,https://higgins.house.gov,202-225-3306,,RepBrianHiggins,RepBrianHiggins,H001038,1,91.89,
146,Himes,James,7/5/1966,rep,CT,4,Democrat,https://himes.house.gov,202-225-5541,,JAHimes,CongressmanJimHimes,H001047,1,94.02,
147,Hirono,Mazie,11/3/1947,sen,HI,,Democrat,https://www.hirono.senate.gov,202-224-6361,https://www.hirono.senate.gov/contact,MazieHirono,senatorhirono,H001042,1,98.32,-0.576
148,Hoeven,John,3/13/1957,sen,ND,,Republican,https://www.hoeven.senate.gov,202-224-2551,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,SenJohnHoeven,SenatorJohnHoeven,H001061,1,81.55,
149,Hoyer,Steny,6/14/1939,rep,MD,5,Democrat,https://hoyer.house.gov,202-225-4131,,WhipHoyer,WhipHoyer,H000874,1,87.68,
150,Huizenga,Bill,1/31/1969,rep,MI,2,Republican,https://huizenga.house.gov,202-225-4401,,RepHuizenga,RepHuizenga,H001058,1,91.84,
151,Hultgren,Randy,3/1/1966,rep,IL,14,Republican,https://hultgren.house.gov,202-225-2976,,RepHultgren,RepHultgren,H001059,1,93.07,
152,Hunter,Duncan,12/7/1976,rep,CA,50,Republican,https://hunter.house.gov,202-225-5672,,Rep_Hunter,DuncanHunter,H001048,1,95.81,
153,Isakson,John,12/28/1944,sen,GA,,Republican,https://www.isakson.senate.gov,202-224-3643,https://www.isakson.senate.gov/public/index.cfm/email-me,SenatorIsakson,,I000055,1,93.07,
154,Issa,Darrell,11/1/1953,rep,CA,49,Republican,https://issa.house.gov,202-225-3906,,DarrellIssa,darrellissa,I000056,1,95.76,
155,Jackson Lee,Sheila,1/12/1950,rep,TX,18,Democrat,https://jacksonlee.house.gov,202-225-3816,,JacksonLeeTX18,CongresswomanSheilaJacksonLee,J000032,1,89.85,
156,Jenkins,Lynn,6/10/1963,rep,KS,2,Republican,https://lynnjenkins.house.gov,202-225-6601,,RepLynnJenkins,replynnjenkins,J000290,1,94.43,
157,Johnson,Bill,11/10/1954,rep,OH,6,Republican,https://billjohnson.house.gov,202-225-5705,,RepBillJohnson,RepBillJohnson,J000292,1,92.88,
158,Johnson,Eddie,12/3/1935,rep,TX,30,Democrat,https://ebjohnson.house.gov,202-225-8885,,RepEBJ,CongresswomanEBJtx30,J000126,1,88.22,
159,Johnson,Henry,10/2/1954,rep,GA,4,Democrat,https://hankjohnson.house.gov,202-225-1605,,RepHankJohnson,1.15E+11,J000288,1,97.12,
160,Johnson,Ron,4/8/1955,sen,WI,,Republican,https://www.ronjohnson.senate.gov,202-224-5323,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,SenRonJohnson,senronjohnson,J000293,1,86.63,
161,Johnson,Sam,10/11/1930,rep,TX,3,Republican,https://samjohnson.house.gov,202-225-4201,,SamsPressShop,RepSamJohnson,J000174,1,79.52,
