first_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,votes_with_party_pct,dw_nominate,crp_id,fec_candidate_id
Robert,1954-01-01,M,sen,NJ,,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,791.0,N00000699,S306,29608,400272,26961.0,Bob Menendez,,29373.0,Bob Menendez,93.97,-0.36,N00000699,S6NJ00289
Bill,1942-09-29,M,sen,FL,,Democrat,https://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,https://www.billnelson.senate.gov/contact-bill,,SenBillNelson,,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,859.0,N00009926,S282,1931,300078,1606.0,Bill Nelson (Florida),,14651.0,Bill Nelson,90.12,-0.192,N00009926,S8FL00166
Bernard,1941-09-08,M,sen,VT,,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,1010.0,N00000528,S313,994,400357,27110.0,Bernie Sanders,,29147.0,Bernie Sanders,81.75,-0.51,N00000528,S4VT00033
Debbie,1950-04-29,F,sen,MI,,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531.0,N00004118,S284,45451,300093,515.0,Debbie Stabenow,,29732.0,Debbie Stabenow,93.39,-0.327,N00004118,S8MI00281
Jon,1956-08-21,M,sen,MT,,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829.0,N00027605,S314,1020176,412244,20928.0,Jon Tester,,40702.0,Jon Tester,89.27,-0.214,N00027605,S6MT00162
Sheldon,1955-10-20,M,sen,RI,,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823.0,N00027533,S316,92235,412247,2572.0,Sheldon Whitehouse,,40704.0,Sheldon Whitehouse,94.98,-0.428,N00027533,S6RI00221
John,1952-07-21,M,sen,WY,,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881.0,N00006236,S317,1024777,412251,52662.0,John Barrasso,,40707.0,John Barrasso,98.08,0.528,N00006236,S6WY00068
Roger,1951-07-05,M,sen,MS,,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226.0,N00003280,S318,18203,400432,21926.0,Roger Wicker,,29534.0,Roger Wicker,98.46,0.376,N00003280,S8MS00196
Lamar,1940-07-03,M,sen,TN,,Republican,https://www.alexander.senate.gov/public,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/public/?a=rss.feed,SenAlexander,senatorlamaralexander,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,1695.0,N00009888,S289,5,300002,15691.0,Lamar Alexander,,40304.0,Lamar Alexander,97.63,0.32299999999999995,N00009888,S2TN00058
Thad,1937-12-07,M,sen,MS,,Republican,https://www.cochran.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-5054,https://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov/public/index.cfm/rss/feed,SenThadCochran,,sencochran,UCTnKP_ye7nI5DEn_zreaa3g,C000567,213.0,N00003328,S136,1200,300023,53312.0,Thad Cochran,,14009.0,Thad Cochran,99.13,0.28600000000000003,N00003328,S8MS00055
Susan,1952-12-07,F,sen,ME,,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541.0,N00000491,S252,45738,300025,379.0,Susan Collins,,49703.0,Susan Collins,88.89,0.107,N00000491,S6ME00159
John,1952-02-02,M,sen,TX,,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692.0,N00024852,S287,93131,300027,15375.0,John Cornyn,,40305.0,John Cornyn,98.85,0.4970000000000001,N00024852,S2TX00106
Richard,1944-11-21,M,sen,IL,,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326.0,N00004981,S253,6741,300038,26847.0,Dick Durbin,,15021.0,Dick Durbin,93.68,-0.365,N00004981,S6IL00151
Michael,1944-02-01,M,sen,WY,,Republican,https://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov/public/index.cfm/rss/feed,SenatorEnzi,mikeenzi,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,1542.0,N00006249,S254,45824,300041,558.0,Mike Enzi,,49706.0,Mike Enzi,96.15,0.537,N00006249,S6WY00126
Lindsey,1955-07-09,M,sen,SC,,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452.0,N00009975,S293,36782,300047,21992.0,Lindsey Graham,,29566.0,Lindsey Graham,96.77,0.409,N00009975,S0SC00149
James,1934-11-17,M,sen,OK,,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,InhofePress,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583.0,N00005582,S236,5619,300055,27027.0,Jim Inhofe,,15424.0,Jim Inhofe,97.67,0.551,N00005582,S4OK00083
Mitch,1942-02-20,M,sen,KY,,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,M000355,1395.0,N00003389,S174,2351,300072,53298.0,Mitch McConnell,,14921.0,Mitch McConnell,98.08,0.404,N00003389,S2KY00012
Jeff,1956-10-24,M,sen,OR,,Democrat,https://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900.0,N00029303,S322,1029842,412325,23644.0,Jeff Merkley,,40908.0,Jeff Merkley,86.82,-0.436,N00029303,S8OR00207
John,1949-11-12,M,sen,RI,,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949.0,N00000362,S259,24239,300081,27060.0,Jack Reed,,29142.0,Jack Reed (Rhode Island politician),95.4,-0.39,N00000362,S6RI00163
James,1943-05-03,M,sen,ID,,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896.0,N00029441,S323,1020034,412322,2919.0,Jim Risch,,40902.0,Jim Risch,96.15,0.631,N00029441,S8ID00092
Pat,1936-04-20,M,sen,KS,,Republican,https://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,https://www.roberts.senate.gov/public/?p=EmailPat,http://www.roberts.senate.gov/public/?a=rss.feed,SenPatRoberts,SenPatRoberts,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,968.0,N00005285,S260,16354,300083,26866.0,Pat Roberts,,14852.0,Pat Roberts,98.85,0.415,N00005285,S6KS00080
Jeanne,1947-01-28,F,sen,NH,,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901.0,N00024790,S324,22850,412323,1663.0,Jeanne Shaheen,,40906.0,Jeanne Shaheen,95.0,-0.272,N00024790,S0NH00219
Tom,1948-05-18,M,sen,NM,,Democrat,https://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,https://www.tomudall.senate.gov/?p=contact,http://tomudall.senate.gov/rss/?p=blog,SenatorTomUdall,senatortomudall,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,1567.0,N00006561,S326,10075,400413,22658.0,Tom Udall,,29924.0,Tom Udall,91.83,-0.456,N00006561,S8NM00184
Mark,1954-12-15,M,sen,VA,,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897.0,N00002097,S327,7630,412321,535.0,Mark Warner,,40909.0,Mark Warner,86.61,-0.197,N00002097,S6VA00093
Kirsten,1966-12-09,F,sen,NY,,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,SenGillibrand,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866.0,N00027658,S331,1022862,412223,65147.0,Kirsten Gillibrand,,20735.0,Kirsten Gillibrand,80.08,-0.334,N00027658,S0NY00410
Alan,1951-05-21,M,sen,MN,,Democrat,https://www.franken.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-5641,https://www.franken.senate.gov/?p=contact,http://franken.senate.gov/rss/?p=hot_topic,SenFranken,senatoralfranken,SenatorFranken,UCMFNp5ybWmz6IlSXmPacTOw,F000457,1969.0,N00029016,S332,23334,412378,108924.0,Al Franken,,40904.0,Al Franken,97.67,-0.416,N00029016,S8MN00438
Chris,1963-09-09,M,sen,DE,,Democrat,https://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,SenCoonsOffice,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984.0,N00031820,S337,9269028,412390,122834.0,Chris Coons,,40916.0,Chris Coons,92.83,-0.28300000000000003,N00031820,S0DE00092
Joe,1947-08-24,M,sen,WV,,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,1983.0,N00032838,S338,62864,412391,7547.0,Joe Manchin III,,40915.0,Joe Manchin,73.56,-0.063,N00032838,S0WV00090
Robert,1965-07-22,M,rep,AL,4.0,Republican,https://aderholt.house.gov,235 Cannon HOB; Washington DC 20515-0104,202-225-4876,,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,1460.0,N00003028,,45516,400004,441.0,Robert B. Aderholt,,29701.0,Robert Aderholt,95.54,0.36,N00003028,H6AL04098
Justin,1980-04-18,M,rep,MI,3.0,Republican,https://amash.house.gov,114 Cannon HOB; Washington DC 20515-2203,202-225-3831,,http://amash.house.gov/rss.xml,,repjustinamash,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,2029.0,N00031938,,1033767,412438,105566.0,Justin Amash,,21143.0,Justin Amash,75.49,0.684,N00031938,H0MI03126
Tammy,1962-02-11,F,sen,WI,,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,1558.0,N00004367,S354,57884,400013,3470.0,Tammy Baldwin,,29940.0,Tammy Baldwin,95.4,-0.546,N00004367,S2WI00219
Lou,1956-01-28,M,rep,PA,11.0,Republican,https://barletta.house.gov,2049 Rayburn HOB; Washington DC 20515-3811,202-225-6511,,http://barletta.house.gov/common/rss//index.cfm?rss=25,RepLouBarletta,CongressmanLouBarletta,reploubarletta,UChViw1Iv0nY1b3Qq9Q0vDBQ,B001269,2054.0,N00025495,,29618,412469,47143.0,Lou Barletta,,21171.0,Lou Barletta,93.78,0.276,N00025495,H2PA11098
Joe,1949-09-15,M,rep,TX,6.0,Republican,https://joebarton.house.gov,2107 Rayburn HOB; Washington DC 20515-4306,202-225-2002,,http://joebarton.house.gov/index.php?format=feed&amp;type=rss,RepJoeBarton,RepJoeBarton,repjoebarton,UC9zg5RmxfNdBfz4iZuzvWXg,B000213,62.0,N00005656,,5248,400018,27082.0,,,15085.0,Joe Barton,95.32,0.528,N00005656,H4TX06117
Karen,1953-10-03,F,rep,CA,37.0,Democrat,https://bass.house.gov,2241 Rayburn HOB; Washington DC 20515-0537,202-225-7084,,http://bass.house.gov/rss.xml,RepKarenBass,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,1996.0,N00031877,,62502,412404,28963.0,,,21110.0,Karen Bass,94.94,-0.555,N00031877,H0CA33117
Michael,1964-11-28,M,sen,CO,,Democrat,https://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/?p=contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenBennetCo,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965.0,N00030608,S330,1031622,412330,110942.0,Michael Bennet,,40910.0,Michael Bennet,91.15,-0.208,N00030608,S0CO00211
Gus,1963-02-08,M,rep,FL,12.0,Republican,https://bilirakis.house.gov,2112 Rayburn HOB; Washington DC 20515-0912,202-225-5755,,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,1838.0,N00027462,,1022873,412250,17318.0,Gus M. Bilirakis,,20758.0,Gus Bilirakis,98.27,0.397,N00027462,H6FL09070
Rob,1951-07-13,M,rep,UT,1.0,Republican,https://robbishop.house.gov,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,,http://robbishop.house.gov/news/rss.aspx,RepRobBishop,RepRobBishop,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,B001250,1753.0,N00025292,,1003621,400029,50544.0,Rob Bishop,,20357.0,Rob Bishop,96.76,0.532,N00025292,H2UT01094
Sanford,1947-02-04,M,rep,GA,2.0,Democrat,https://bishop.house.gov,2407 Rayburn HOB; Washington DC 20515-1002,202-225-3631,,http://bishop.house.gov/rss.xml,SanfordBishop,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,91.0,N00002674,,26194,400030,26817.0,,,29339.0,Sanford Bishop,92.54,-0.279,N00002674,H2GA02031
Diane,1951-01-16,F,rep,TN,6.0,Republican,https://black.house.gov,1131 Longworth HOB; Washington DC 20515-4206,202-225-4231,,http://black.house.gov/rss.xml,RepDianeBlack,DianeBlackTN06,RepDianeBlack,UCREZGYWeFh6-gfodmoWVUFg,B001273,2063.0,N00031539,,9268964,412478,25292.0,,,21180.0,Diane Black,98.23,0.58,N00031539,H0TN06257
Marsha,1952-06-06,F,rep,TN,7.0,Republican,https://blackburn.house.gov,2266 Rayburn HOB; Washington DC 20515-4207,202-225-2811,,http://blackburn.house.gov/news/rss.aspx,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,1748.0,N00003105,,31226,400032,25186.0,Marsha Blackburn,,20351.0,Marsha Blackburn,96.96,0.614,N00003105,H2TN06030
Earl,1948-08-16,M,rep,OR,3.0,Democrat,https://blumenauer.house.gov,1111 Longworth HOB; Washington DC 20515-3703,202-225-4811,,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,99.0,N00007727,,43809,400033,367.0,Earl Blumenauer,,29588.0,Earl Blumenauer,94.4,-0.429,N00007727,H6OR03064
Richard,1946-02-13,M,sen,CT,,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076.0,N00031685,S341,21799,412490,1568.0,Richard Blumenthal,,41101.0,Richard Blumenthal,90.77,-0.418,N00031685,S0CT00177
Roy,1950-01-10,M,sen,MO,,Republican,https://www.blunt.senate.gov/public,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,RoyBlunt,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,1464.0,N00005195,S342,45465,400034,418.0,Roy Blunt,,29735.0,Roy Blunt,98.43,0.431,N00005195,S0MO00183
John,1950-12-10,M,sen,AR,,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687.0,N00013873,S343,92069,400040,27958.0,John Boozman,,20101.0,John Boozman,98.85,0.402,N00013873,S0AR00150
Madeleine,1933-05-31,F,rep,GU,0.0,Democrat,https://bordallo.house.gov,2441 Rayburn HOB; Washington DC 20515-5301,202-225-1188,,http://bordallo.house.gov/rss.xml,,madeleine.bordallo,RepMadeleineBordallo,UCmHdfm0Nyslc8LOoq3KIATg,B001245,1723.0,N00024866,,1003568,400041,1751.0,,,,Madeleine Bordallo,,,N00024866,H2GU00033
Kevin,1955-04-11,M,rep,TX,8.0,Republican,https://kevinbrady.house.gov,1011 Longworth HOB; Washington DC 20515-4308,202-225-4901,,http://kevinbrady.house.gov/common/rss/index.cfm?rss=49,RepKevinBrady,kevinbrady,KBrady8,UC6Ng0uMQEBVgXO_HF0NbfXA,B000755,1468.0,N00005883,,45749,400046,361.0,,,29760.0,Kevin Brady,97.97,0.52,N00005883,H6TX08100
Robert,1945-04-07,M,rep,PA,1.0,Democrat,https://brady.house.gov,2004 Rayburn HOB; Washington DC 20515-3801,202-225-4731,,http://brady.house.gov/rss.xml,RepBrady,RepRobertBrady,BradyPA01,UCHbTbPH6iCtaA_AKPwDy04A,B001227,1469.0,N00001619,,55227,400047,2519.0,Robert A. Brady,,29777.0,Bob Brady,95.2,-0.483,N00001619,H8PA01153
Mo,1954-04-29,M,rep,AL,5.0,Republican,https://brooks.house.gov,2400 Rayburn HOB; Washington DC 20515-0105,202-225-4801,,http://brooks.house.gov/rss/press-releases.xml,RepMoBrooks,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,B001274,1987.0,N00030910,,94888,412395,121610.0,Mo Brooks,,21193.0,Mo Brooks,95.04,0.594,N00030910,H0AL05163
Vern,1951-05-08,M,rep,FL,16.0,Republican,https://buchanan.house.gov,2104 Rayburn HOB; Washington DC 20515-0916,202-225-5015,,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,VernBuchanan,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,B001260,1840.0,N00027626,,1021626,412196,66247.0,Vern Buchanan,,20709.0,Vern Buchanan,95.56,0.359,N00027626,H6FL13148
