"","full_set_id","member_id","vote_position","bill_id","broke_from_party"
"233",1932699,"W000820","Yes","hres548-115",0
"234",1927060,"N000127","No","hr732-115",0
"235",1918276,"S001148","Yes","hr2792-115",0
"236",1918567,"L000582","No","hr3823-115",0
"237",1925037,"B001304","Yes","hr1698-115",0
"238",1930903,"P000096","No","hconres71-115",0
"239",1922326,"H001047","No","hres513-115",0
"240",1908138,"R000598","Yes","hr3364-115",0
"241",1933161,"B001285","Yes","hr1547-115",0
"242",1921076,"G000583","Yes","hr3284-115",0
"243",1913857,"H001078","Yes","hjres76-115",0
"244",1922679,"F000459","Yes","hr2611-115",0
"245",1923383,"B000213","Yes","hres500-115",0
"246",1924098,"R000607","Yes","hr2864-115",0
"247",1932731,"B001299","Yes","hr965-115",0
"248",1926033,"C001107","Yes","hres580-115",0
"249",1918756,"Y000066","Yes","hr3823-115",0
"250",1921457,"E000293","No","hr3354-115",0
"251",1921793,"B001275","Yes","hr3697-115",0
"252",1925888,"S000510","No","hr469-115",0
"253",1925992,"C001037","No","hres580-115",0
"254",1923536,"H001071","Yes","hres500-115",0
"255",1926689,"R000598","Yes","hr3898-115",0
"256",1921468,"F000448","Yes","hr3354-115",0
"257",1933065,"S001195","Yes","hr965-115",0
"258",1924520,"R000609","Yes","hr3110-115",0
"259",1919061,"R000606","No","hres538-115",0
"260",1922312,"G000535","No","hres513-115",0
"261",1919249,"C000754","No","hr2824-115",0
"262",1899482,"M001180","Yes","hr1873-115",0
"263",1922092,"S000344","No","hr3697-115",0
"264",1918362,"B001273","Yes","hr3823-115",0
"265",1919122,"S001187","Yes","hres538-115",0
"266",1933432,"R000583","Yes","hr1547-115",0
"267",1930873,"M001159","Yes","hconres71-115",0
"268",1899389,"H000324","No","hr1873-115",0
"269",1929329,"V000081","Yes","s585-115",0
"270",1920316,"P000523","Yes","hr2061-115",0
"271",1923298,"S001157","No","hres504-115",0
"272",1927353,"G000558","Yes","hr2142-115",0
"273",1909603,"F000461","Yes","s114-115",0
"274",1932365,"C001049","No","hres548-115",0
"275",1920687,"M001197","Yes","hr3823-115",0
"276",1917904,"S001194","Yes","hr2430-115",0
"277",1923820,"B001296","Yes","hr2864-115",0
"278",1930024,"M001157","Yes","hr452-115",0
"279",1919049,"P000605","No","hres538-115",1
"280",1930101,"R000487","Yes","hr452-115",0
"281",1923913,"F000449","Yes","hr2864-115",0
"282",1919660,"C001077","Yes","hres533-115",0
"283",1919439,"M001189","Yes","hr2824-115",0
"284",1932522,"L000566","Yes","hres548-115",0
"285",1918818,"C001101","No","hres538-115",0
"286",1922070,"R000487","Yes","hr3697-115",0
"287",1923721,"S001185","No","hres500-115",0
"288",1914696,"K000375","Yes","hr2210-115",0
"289",1932983,"M001151","Yes","hr965-115",0
"290",1933267,"G000577","Yes","hr1547-115",0
"291",1922551,"W000814","Yes","hres513-115",0
"292",1932658,"S001191","No","hres548-115",0
"293",1920655,"L000554","Yes","hr3823-115",0
"294",1927373,"H001068","Yes","hr2142-115",0
"295",1922305,"G000577","Yes","hres513-115",0
"296",1928903,"M000934","Yes","hconres71-115",0
"297",1922721,"H001077","Yes","hr2611-115",0
"298",1923382,"B001300","No","hres500-115",0
"299",1922153,"W000810","Yes","hr3697-115",0
"300",1923566,"K000385","No","hres500-115",0
"301",1931091,"C001091","No","hres553-115",0
"302",1922746,"J000289","Yes","hr2611-115",0
"303",1905208,"B001269","Yes","s114-115",0
"304",1929824,"C001097","Yes","hr452-115",0
"305",1926150,"K000389","No","hres580-115",0
"306",1922089,"S000250","Yes","hr3697-115",0
"307",1883435,"J000290","Yes","hr2288-115",0
"308",1920811,"U000031","Yes","hr3823-115",0
"309",1924077,"P000258","Yes","hr2864-115",0
"310",1929139,"K000379","Yes","s585-115",0
"311",1930080,"R000585","Yes","hr452-115",0
"312",1909416,"S000344","Yes","hr3218-115",0
"313",1926298,"S001170","No","hres580-115",0
"314",1920413,"W000806","Yes","hr2061-115",0
"315",1920133,"E000296","Yes","hr2061-115",0
"316",1932238,"S001165","No","hr36-115",0
"317",1930383,"J000289","Yes","hres562-115",0
"318",1926065,"E000293","No","hres580-115",0
"319",1925697,"H001047","No","hr469-115",0
"320",1920771,"S001189","Yes","hr3823-115",0
"321",1926191,"M001158","Yes","hres580-115",0
"322",1921472,"G000578","Yes","hr3354-115",0
"323",1933520,"Y000033","Yes","hr1547-115",0
"324",1920843,"Y000066","Yes","hr3823-115",0
"325",1928759,"S001156","Yes","hr3551-115",0
"326",1919993,"W000820","Yes","hres533-115",0
"327",1930270,"C001069","No","hres562-115",0
"328",1922124,"T000465","No","hr3697-115",0
"329",1905197,"A000374","Yes","s114-115",0
"330",1927459,"M001137","Yes","hr2142-115",0
"331",1923927,"G000585","Yes","hr2864-115",0
"332",1921302,"T000238","Yes","hr3284-115",0
"333",1922225,"C001068","No","hres513-115",0
"334",1923287,"R000577","No","hres504-115",0
"335",1919195,"B001250","Yes","hr2824-115",0
"336",1918627,"P000034","No","hr3823-115",0
"337",1925159,"G000558","Yes","hr1698-115",0
"338",1929817,"B001305","Yes","hr452-115",0
"339",1926778,"Y000033","Yes","hr3898-115",0
"340",1919718,"F000464","Yes","hres533-115",0
"341",1914726,"L000587","Yes","hr2210-115",0
"342",1926161,"K000392","Yes","hres580-115",0
"343",1930019,"M001198","Yes","hr452-115",0
"344",1918461,"F000460","Yes","hr3823-115",0
"345",1917916,"U000039","Yes","hr2430-115",0
"346",1930390,"K000379","No","hres562-115",0
"347",1922913,"T000472","Yes","hr2611-115",0
"348",1905438,"M001158","Yes","s114-115",0
"349",1933142,"B001302","Yes","hr1547-115",0
"350",1907983,"H001065","Yes","hr3364-115",0
"351",1930548,"S001165","No","hres562-115",0
"352",1921935,"J000126","No","hr3697-115",0
"353",1922099,"S001195","Yes","hr3697-115",0
"354",1913814,"E000179","Yes","hjres76-115",0
"355",1926706,"S001183","Yes","hr3898-115",0
"356",1883522,"M001190","Yes","hr2288-115",0
"357",1922591,"B001273","Yes","hr2611-115",0
"358",1925797,"M001190","Yes","hr469-115",0
"359",1920014,"A000374","Yes","hr2061-115",0
"360",1927363,"H001056","Yes","hr2142-115",0
"361",1923909,"F000465","Yes","hr2864-115",0
"362",1918204,"N000181","Yes","hr2792-115",0
"363",1932639,"S001168","No","hres548-115",0
"364",1932103,"L000551","No","hr36-115",0
"365",1922081,"S001190","No","hr3697-115",0
"366",1927015,"L000583","Yes","hr732-115",0
"367",1920470,"B001248","Yes","hr3823-115",0
"368",1907987,"H001068","Yes","hr3364-115",0
"369",1929921,"G000583","Yes","hr452-115",0
"370",1927860,"M001198","Yes","hres577-115",0
"371",1909085,"B001299","Yes","hr3218-115",0
"372",1919786,"J000255","Yes","hres533-115",0
"373",1923787,"Y000033","Yes","hres500-115",0
"374",1906874,"R000609","Yes","hr3219-115",0
"375",1908073,"M001166","Yes","hr3364-115",0
"376",1932441,"G000584","Yes","hres548-115",0
"377",1931952,"C001094","Yes","hr36-115",0
"378",1919904,"R000585","Yes","hres533-115",0
"379",1909260,"J000174","Yes","hr3218-115",0
"380",1917998,"C001094","Yes","hr2792-115",0
"381",1918098,"H001067","Yes","hr2792-115",0
"382",1907819,"B001291","Yes","hr3364-115",0
"383",1922535,"V000129","Yes","hres513-115",0
"384",1899356,"F000450","Yes","hr1873-115",0
"385",1927954,"S001145","No","hres577-115",0
"386",1913847,"G000377","Yes","hjres76-115",0
"387",1923299,"S000244","Yes","hres504-115",0
"388",1921744,"W000809","Yes","hr3354-115",0
"389",1922488,"S001150","No","hres513-115",0
"390",1925297,"P000588","Yes","hr1698-115",0
"391",1909106,"B001296","Yes","hr3218-115",0
"392",1909632,"G000551","No","s114-115",0
"393",1921573,"L000569","Yes","hr3354-115",0
"394",1918338,"Z000017","Yes","hr2792-115",0
"395",1931164,"F000454","No","hres553-115",0
"396",1929063,"F000459","Yes","s585-115",0
"397",1931172,"G000579","Yes","hres553-115",0
"398",1899243,"B001301","Yes","hr1873-115",0
"399",1932725,"A000372","Yes","hr965-115",0
"400",1917882,"L000577","Yes","hr2430-115",0
"401",1923978,"K000385","Yes","hr2864-115",0
"402",1932746,"B001273","Yes","hr965-115",0
"403",1927587,"V000131","Yes","hr2142-115",0
"404",1920659,"L000583","Yes","hr3823-115",0
"405",1923761,"V000132","No","hres500-115",0
"406",1924570,"U000031","Yes","hr3110-115",0
"407",1923266,"R000597","Yes","hres504-115",0
"408",1919997,"W000822","No","hres533-115",0
"409",1925131,"F000462","Yes","hr1698-115",0
"410",1925680,"G000551","No","hr469-115",0
"411",1930178,"W000815","Yes","hr452-115",0
"412",1931324,"P000609","Yes","hres553-115",0
"413",1924142,"S001175","Yes","hr2864-115",0
"414",1930232,"B001275","Yes","hres562-115",0
"415",1927411,"L000578","Yes","hr2142-115",0
"416",1914874,"T000465","Yes","hr2210-115",0
"417",1920204,"K000386","Yes","hr2061-115",0
"418",1906668,"F000372","Yes","hr3219-115",0
"419",1930931,"R000575","Yes","hconres71-115",0
"420",1918548,"K000387","Yes","hr3823-115",0
"421",1909139,"C001061","Yes","hr3218-115",0
"422",1933453,"S001183","Yes","hr1547-115",0
"423",1859972,"C000984","Yes","hr1117-115",0
"424",1930869,"M001200","No","hconres71-115",0
"425",1927988,"T000477","Yes","hres577-115",0
"426",1927804,"J000126","No","hres577-115",0
"427",1905553,"S001195","Yes","s114-115",0
"428",1913898,"K000390","Yes","hjres76-115",0
"429",1924087,"R000585","Yes","hr2864-115",0
"430",1922655,"D000612","Yes","hr2611-115",0
"431",1921292,"S001196","Yes","hr3284-115",0
"432",1922455,"P000598","No","hres513-115",0
"433",1925137,"G000579","Yes","hr1698-115",0
"434",1917936,"B001300","No","hr2792-115",0
"435",1923828,"B001260","Yes","hr2864-115",0
"436",1918556,"L000567","Yes","hr3823-115",0
"437",1919260,"C000984","No","hr2824-115",0
"438",1920453,"B001243","Yes","hr3823-115",0
"439",1905583,"V000132","Yes","s114-115",0
"440",1883571,"R000583","Yes","hr2288-115",0
"441",1921981,"L000491","Yes","hr3697-115",0
"442",1920763,"S000051","No","hr3823-115",1
"443",1909550,"C001092","Yes","s114-115",0
"444",1925852,"R000603","Yes","hr469-115",0
"445",1922411,"M001180","Yes","hres513-115",0
"446",1899518,"P000593","No","hr1873-115",0
"447",1930875,"M001197","Yes","hconres71-115",0
"448",1932089,"K000391","No","hr36-115",0
"449",1930098,"R000598","Yes","hr452-115",0
"450",1933185,"C000537","Yes","hr1547-115",0
"451",1926351,"W000815","Yes","hres580-115",0
"452",1920338,"R000486","Yes","hr2061-115",0
"453",1918523,"J000298","No","hr3823-115",0
"454",1923747,"T000467","Yes","hres500-115",0
"455",1928774,"S001185","Yes","hr3551-115",0
"456",1914648,"G000289","Yes","hr2210-115",0
"457",1922512,"S001199","Yes","hres513-115",0
"458",1920527,"D000612","Yes","hr3823-115",0
"459",1931386,"S001170","No","hres553-115",0
"460",1909220,"G000566","Yes","hr3218-115",0
"461",1922164,"A000367","Yes","hres513-115",0
"462",1930926,"R000602","No","hconres71-115",0
"463",1860113,"L000576","Yes","hr1117-115",0
"464",1913841,"G000585","Yes","hjres76-115",0
"465",1927918,"P000599","Yes","hres577-115",0
"466",1927612,"Y000063","Yes","hr2142-115",0
"467",1906506,"P000595","Yes","hr3364-115",0
"468",1929961,"J000288","Yes","hr452-115",0
"469",1918694,"S001154","Yes","hr3823-115",0
"470",1930269,"C001106","Yes","hres562-115",0
"471",1909431,"S001187","Yes","hr3218-115",0
"472",1921215,"P000601","Yes","hr3284-115",0
"473",1920060,"C000059","Yes","hr2061-115",0
"474",1925812,"P000034","No","hr469-115",0
"475",1930823,"K000391","No","hconres71-115",0
"476",1922329,"H000874","No","hres513-115",0
"477",1929041,"D000616","Yes","s585-115",0
"478",1918571,"L000397","No","hr3823-115",0
"479",1905495,"P000592","Yes","s114-115",0
"480",1925838,"R000602","No","hr469-115",0
"481",1924214,"B001301","Yes","hr3110-115",0
"482",1926155,"K000362","Yes","hres580-115",0
"483",1933074,"S001187","Yes","hr965-115",0
"484",1925937,"Y000062","No","hr469-115",0
"485",1906660,"F000465","Yes","hr3219-115",0
"486",1922571,"A000372","Yes","hr2611-115",0
"487",1933135,"B001300","Yes","hr1547-115",0
"488",1907923,"E000288","Yes","hr3364-115",0
"489",1931052,"B001301","Yes","hres553-115",0
"490",1931340,"P000598","No","hres553-115",0
"491",1926835,"C000266","Yes","hr732-115",0
"492",1929983,"K000387","Yes","hr452-115",0
"493",1860184,"P000599","Yes","hr1117-115",0
"494",1921482,"G000583","No","hr3354-115",0
"495",1921819,"C001092","Yes","hr3697-115",0
"496",1919706,"D000615","Yes","hres533-115",0
"497",1922445,"P000604","No","hres513-115",0
"498",1908096,"O000170","Yes","hr3364-115",0
"499",1919839,"M001185","No","hres533-115",0
"500",1932298,"Y000033","Yes","hr36-115",0
"501",1920546,"E000298","No","hr3823-115",1
"502",1918226,"P000599","Yes","hr2792-115",0
"503",1920972,"B001227","Yes","hr3284-115",0
"504",1922723,"H001072","Yes","hr2611-115",0
"505",1929968,"J000295","Yes","hr452-115",0
"506",1923594,"L000263","No","hres500-115",0
"507",1926253,"Q000023","No","hres580-115",0
"508",1926925,"G000289","Yes","hr732-115",0
"509",1926587,"L000263","Yes","hr3898-115",0
"510",1931997,"E000293","No","hr36-115",0
"511",1913957,"M001189","Yes","hjres76-115",0
"512",1932091,"K000392","Yes","hr36-115",0
"513",1919577,"W000814","Yes","hr2824-115",0
"514",1921911,"H001056","Yes","hr3697-115",0
"515",1926445,"C001038","Yes","hr3898-115",0
"516",1919317,"G000585","No","hr2824-115",0
"517",1933400,"P000609","Yes","hr1547-115",0
"518",1925865,"S001145","No","hr469-115",0
"519",1925388,"T000474","Yes","hr1698-115",0
"520",1928502,"C001105","Yes","hr3551-115",0
"521",1926552,"J000174","Yes","hr3898-115",0
"522",1918842,"C001063","No","hres538-115",0
"523",1925203,"K000379","Yes","hr1698-115",0
"524",1860185,"P000523","Yes","hr1117-115",0
"525",1929912,"G000559","Yes","hr452-115",0
"526",1931114,"C001059","No","hres553-115",0
"527",1925802,"N000189","Yes","hr469-115",0
"528",1919184,"B001300","No","hr2824-115",0
"529",1928448,"B001282","Yes","hr3551-115",0
"530",1932920,"K000387","Yes","hr965-115",0
"531",1905496,"P000611","Yes","s114-115",0
"532",1932300,"Z000017","Yes","hr36-115",0
"533",1930906,"P000588","Yes","hconres71-115",0
"534",1921610,"N000002","No","hr3354-115",0
"535",1860060,"I000056","Yes","hr1117-115",0
"536",1929130,"J000255","Yes","s585-115",0
"537",1930109,"S000051","Yes","hr452-115",0
"538",1928643,"L000564","Yes","hr3551-115",0
"539",1883436,"J000297","Yes","hr2288-115",0
"540",1905353,"H001050","Yes","s114-115",0
"541",1919940,"S001189","Yes","hres533-115",0
"542",1860270,"W000798","Yes","hr1117-115",0
"543",1927115,"R000515","No","hr732-115",0
"544",1930559,"S001187","Yes","hres562-115",0
"545",1922451,"P000597","No","hres513-115",0
"546",1919398,"L000263","No","hr2824-115",0
"547",1925218,"L000578","Yes","hr1698-115",0
"548",1924474,"P000609","Yes","hr3110-115",0
"549",1927472,"N000189","Yes","hr2142-115",0
"550",1923896,"D000615","Yes","hr2864-115",0
"551",1917854,"C001098","Yes","hr2430-115",0
"552",1918462,"F000464","Yes","hr3823-115",0
"553",1909596,"E000293","No","s114-115",0
"554",1914051,"S001200","Yes","hjres76-115",0
"555",1930817,"K000381","No","hconres71-115",0
"556",1921893,"G000377","Yes","hr3697-115",0
"557",1909182,"D000615","Yes","hr3218-115",0
"558",1914879,"V000132","Yes","hr2210-115",0
"559",1921726,"W000798","Yes","hr3354-115",0
"560",1931960,"C001111","No","hr36-115",0
"561",1931238,"K000379","No","hres553-115",0
"562",1905346,"G000553","Yes","s114-115",0
"563",1909292,"L000586","Yes","hr3218-115",0
"564",1927465,"M001160","Yes","hr2142-115",0
"565",1883431,"I000056","Yes","hr2288-115",0
"566",1926471,"D000614","Yes","hr3898-115",0
"567",1928694,"M001194","Yes","hr3551-115",0
"568",1932345,"B001248","Yes","hres548-115",0
"569",1925785,"M001166","No","hr469-115",0
"570",1932835,"E000296","Yes","hr965-115",0
"571",1909660,"J000294","No","s114-115",0
"572",1921855,"D000482","No","hr3697-115",0
"573",1922483,"R000577","No","hres513-115",0
"574",1922780,"L000582","Yes","hr2611-115",0
"575",1927066,"O000168","Yes","hr732-115",0
"576",1932379,"C000754","No","hres548-115",0
"577",1918748,"W000795","Yes","hr3823-115",0
"578",1929075,"G000574","Yes","s585-115",0
"579",1914090,"W000815","Yes","hjres76-115",0
"580",1919991,"W000819","Yes","hres533-115",0
